序号,单词,词性、词义,词义,,,
437,treat,v./n.对待;处理;医疗;治疗;款待;请客,,,,
438,tremble,vi.颤抖;焦虑;担忧,n.颤抖的动作或声音,,,
439,try,v.尝试;试图;试验;试用;审讯,n.尝试,,,
440,turn,v.(使)转动;(使)旋转;(使)变化n.一次机会,,,,
441,underline,vt.在…之下划线;强调,n.下划线,,,
442,understand,v.懂;理解;得知;听说;获悉;以为;认为,,,,
443,undress,vi.脱衣服vt.除去…的衣服n.裸体的状态,,,,
444,unfold,v.展开;打开;显露;展现,,,,
445,unite,v.(使)统一;(使)联合;(使)团结;(使)接合,,,,
446,visit,vt.观光,,,,
447,wag,v.(狗尾巴等)摆动,n.诙谐幽默者,,,
448,wait,v.(for)等待;(on)侍候,n.等候;等待时间,,,
449,wake,v.醒;醒来;唤醒;使认识到;激动;引起,,,,
450,walk,v.走;步行;散步;走遍,n.走;步行;散步,,,
451,wander,v.迷路;过失;离开正题;离题;徘徊;漫步,,,,
452,warn,vt.警告,vi.发出警告,,,
453,watch,v.观看;看守;(for)窥伺;等待,n.看管;表,,,
454,wave,v.波动;飘动;向…挥手,n.波浪/飘扬/挥手,,,
455,wear,v.穿着;戴着;磨损;用旧,n.穿;戴;磨损,,,
456,weave,v.编(织),n.编织法;编织式样,,,
457,weep,v.哭泣;流泪,n.悲叹;哀悼;为…伤心,,,
458,weigh,vt.称;量;重;重达;考虑;权衡,vi.重…,,,
459,whisper,v.耳语;轻声说;偷偷告诉,n.耳语;轻声说,,,
460,whistle,v.吹口哨;鸣笛,n.口哨/汽笛声;哨子;汽笛,,,
461,win,vi.获胜;赢,vt.赢得;在…中获胜,n.胜利,,
462,wipe,v.擦;抹;揩,n.擦;抹;揩,,,
463,wish,v.希望;但愿;祝,n.愿望;希望;[pl.]祝愿,,,
464,wrap,v.裹;包;覆盖;包围,n.包裹物;包装材料,,,
465,write,v.写;书写;写字;写作;写信(给);函告,,,,
466,want,v.(+不定式):想。(动词want后面用不定式短语),,,,
467,redirect,*v.转移呼叫;使改方向,,,,
468,repay,*v.(repaid;repaid)偿还;还钱给(某人),,,,
469,foresee,*v.(foresaw;foreseen)预见;预知,,,,
500,able,a.有(能力、时间、知识等)做某事;有本事的,,,,
501,about,ad.在周围;大约,prep.关于;在周围,a.准备,,
502,above,a.上述的,ad.在上面,prep.在…之上;高于,,
503,abroad,ad.到国外;在国外;在传播;在流传,,,,
504,absent,a.缺席的;缺乏的;不存在的;心不在焉的,,,,
505,according,ad.(与to构成介词)按照;根据,,,,
506,active,adj.活跃的;积极的;在活动中的,,,,
507,actual,a.实际的;现实的;真实的;目前的,,,,
508,actually,ad.实际上;(表示惊讶)居然;竟然,,,,
509,advanced,a.超前的;先进的;高级的;开明的;前进的,,,,
510,afraid,adj.害怕的;恐惧的;犯愁的;不乐意的,,,,
511,African,adj.非洲的,n.非洲人;非洲居民,,,
512,afterwards,adv.后来;然后;以后,,,,
513,again,ad.再次;另一次;重新;除此;再;更;还,,,,
514,ago,ad.(常和一般过去时的动词连用)以前;…前,,,,
515,agricultural,a.农业的;农艺的;农学的,,,,
516,ahead,ad.在前面(头);向(朝)前;提前,,,,
517,airless,a.缺少空气的;不通风的,,,,
518,alike,a.同样的;相像的ad.一样地;同程度地,,,,
519,alive,a.活着的;存在的;活跃的,,,,
520,all,a.全部的;非常的,ad.完全地;很,pron.全部,,
521,almost,adv.几乎;差不多,,,,
522,alone,a.单独的;孤独的,ad.单独地;独自地;仅仅,,,
523,along,ad.向前;和…一起;一同,prep.沿着;顺着,,,
524,aloud,adv.出声地;大声地,,,,
525,already,ad.已;已经;早已,,,,
526,also,ad.而且(也);此外(还);同样地,,,,
527,altogether,ad.完全;总之;全部地;总共;总而言之,,,,
528,always,ad.总是;无例外地;永远;始终,,,,
529,amazing,a.令人吃惊的;使人十分惊奇的,,,,
530,American,a.美国(洲)的;美国人的,n.美国人;美洲人,,,
531,angry,a.生气的;愤怒的;(天气)风雨交加的,,,,
532,another,a.另一个;又;再,pron.另一个;类似的一个,,,
533,anxious,a.焦虑的;担心的;急于(得到的);渴望的,,,,
534,anxiously,adv.忧虑地;担心地,,,,
535,any,a.(用于否定句、疑问句等)什么;一些;任何的,,,,
536,anyhow,ad.不管怎么说;无论如何;不论用何种方法,,,,
537,anyway,ad.不管怎么说;无论如何;不论以何种方式,,,,
538,anywhere,ad.无论哪里;(用于否定、疑问等)任何地方,,,,
539,apart,ad.分离;离开;隔开,a.分离的;分隔的,,,
540,Arctic,a.北极,,,,
541,around,ad.在…周围;到处,prep.在…四周(或附近),,,
542,as,ad.同样地,conj.由于;像…一样,prep.作为,,
543,ashamed,a.惭愧的;羞耻的;害臊的,,,,
544,Asian,a.亚洲的;亚洲人的,n.亚洲人,,,
545,aside,ad.在旁边;到一边,n.旁白;离题的话,,,
546,asleep,a.睡觉;睡着(用作表语),,,,
547,assistant,a.帮助的;辅助的,n.助手;助教;辅助物,,,
548,astonishing,adj.令人惊讶的,,,,
549,attentively,adv.专心地;聚精会神地,,,,
550,August,a.尊严的;威严的,,,,
551,Australian,a.澳大利亚(人)的;澳州区的,n.澳大利亚人,,,
552,awake,a.醒着的,vt.唤醒;使觉醒,vi.醒来;醒悟到,,
553,away,ad.在远处;离开;渐渐远去;一直;不停地,,,,
554,back,a.后面的,ad.向后,v.倒退;支持,n.背;后面,
555,backward,a.向后的,ad.向后地;倒;逆[=backwards],,,
556,bad,a.坏的;低劣的;不舒服的;腐败的;严重的,,,,
557,badly,ad.非常;严重地;坏地;差地;拙劣地,,,,
558,barefooted,ad./a.赤脚(的),,,,
559,basic,a.基本(础)的;根本的;主要的,n.基础(本),,,
560,beautiful,a.美的;美丽的;出色的;完美的,,,,
561,besides,ad.此外;并且,prep.于…之外;除…以外,,,
562,best,a.最好的(good和well最高级),ad.最好地;最,,,
563,better,a.较好的;更好的;(健康状况)有所好转的,,,,
564,big,a.大的;重要的;宽宏大量的;大受欢迎的,,,,
565,bitter,a.苦的;痛苦的;寒冷入骨的;有苦味的,,,,
566,black,a.黑(色)的;黑暗的,n.黑(色);黑暗;黑人,,,
567,blank,a.空白的;空着的;无表情的,n.空白;表格,,,
568,blind,a.盲的;瞎的;盲目的,vt.使失明,n.百叶窗,,
569,blue,a.蓝色的;青灰色的;沮丧的;阴郁的,n.蓝色,,,
570,boiling,a.热到沸点的;激昂的,,,,
571,bold,a.果敢的;冒险的;无畏的;冒失的;鲁莽的,,,,
572,bored,a.厌烦的;厌倦的,,,,
573,boring,a.令人厌倦的;使人厌烦的,n.钻孔;打孔,,,
574,born,a.出生的;产生的;天生的;十足的,,,,
575,brave,a.勇敢的,v.勇敢地面对(危险等),,,
576,brief,a.简要的;简短的,vt.简要介绍情况,,,
577,bright,a.明亮的;睛朗的;机灵的;欢快的,,,,
578,brightly,adv.明亮地;闪亮地,,,,
579,British,a.(大)不列颠(人)的;英国(人)的,n.英国人,,,
580,broad,a.宽的;宽容的;粗略的;概括性的;敞开的,,,,
581,broken,a.破的;断断续续的;未履行的;不完善的,,,,
582,brotherly,a.兄弟般的,,,,
583,brown,a./n.棕色的;褐色的;棕色;褐色,,,,
584,busy,a.忙;忙碌的;热闹的;繁忙的;(电话)占线,,,,
585,calm,a.(天气等)静的;镇静的,n.平静,v.(使)平静,,
586,Canadian,a.加拿大的;加拿大人的,n.加拿大人,,,
587,careful,a.当心的;小心的;仔细的,,,,
588,carefully,adv.仔细地;聚精会神地,,,,
589,central,a.中心的;中央的;主要的;起支配作用的,,,,
590,certain,a.确实的;无疑的;肯定的;必然的;某一,,,,
591,certainly,ad.一定;无疑地;是的;当然;好,,,,
592,cheap,a.便宜的;劣质的;虚伪的,ad.便宜地,,,
593,cheaply,ad.廉价地;粗俗地,,,,
594,cheerful,a.欢乐的;高兴的;使人感到愉快的,,,,
595,chemical,a.化学的;用化学方法得到的,n.化学制品,,,
596,chief,a.主要的;总的n.首领;长官;酋长;族长,,,,
597,Chinese,a.中国的;中国人的;汉语的,n.中国人;汉语,,,
598,civil,a.公民(个人)的;国内的;公民间的;文明的,,,,
599,clean,a.清洁的;干净的v.除去…污垢;把…弄干净,,,,
600,clear,a./ad.清晰的(地)vt.清除;使清楚vi.变清澈,,,,
601,clever,a.聪明的;机灵的;灵巧的;精巧的,,,,
602,closed,a.关闭的;停止营业的,,,,
603,cloudy,a.多云的;阴天的;似云的;模糊不清的,,,,
604,coastal,a.海岸的;沿岸的,,,,
605,cold,a.冷的;寒冷的;冷淡的,n.冷;寒冷;伤风,,,
607,colorful,a.富有色彩的;多采多姿的;生动的;活泼的,,,,
608,coloured,a.有色的,n.有色人种,,,
609,comfortable,a.舒适的;舒服的;感到舒适的;安逸的,,,,
610,common,a.平常的;共同的;粗俗的,n.公地;公园,,,
611,communist,a.共产主义(党)的,n.共产主义者;共产党员,,,
612,complete,a.完整的;完全的;完成的,vt.完成;使完整,,,
613,completely,ad.完全地;彻底地,,,,
614,complex,a.复合的;复杂的n.综合体;集合体;情结,,,,
615,compressed,a.压缩的;浓缩的,,,,
616,conceited,a.骄傲自满的;自负的,,,,
617,connected,adj.连接的;有关系的,,,,
618,constant,a.经常的;不断的;稳定的;不变的;忠实的,,,,
619,constantly,ad.经常地;不断地;时常地,,,,
620,contrary,a.(to)相反的;对抗的n.[the～]相反(事物),,,,
621,convenient,a.(to)方便的;合适的;近处的;近便的,,,,
622,cool,a.凉的;冷静的,n.凉快,ad.冷静地,v.使变凉,
624,correct,a.正确的;无误的;正常的;恰当的,v.改正,,,
625,correctly,adv.正确地;恰当地,,,,
626,countless,a.无数的;多得不计其数的,,,,
627,crazy,a.发疯的;荒唐的;古怪的;(about)狂热爱好的,,,,
628,creative,a.创造(性)的;有创造力的,,,,
629,crisp,a.脆的;干脆的,n.油炸马铃薯片,v.(使)发脆,,
630,crowded,adj.人多的;拥挤的,,,,
631,cruel,a.残酷的;残忍的;痛苦的;引起痛苦的,,,,
632,cubic,a.立方形的;立方体的;立方的;三次幂的,,,,
633,curious,a.好奇的;渴望知道的;稀奇的;莫明其妙的,,,,
634,curiously,ad.有求知欲地;好问地;奇特地,,,,
635,daily,a.每日的;日常的,ad.每日,n.日报;女佣,,
637,dangerous,a.危险的;不安全的,,,,
638,dark,a.黑暗的;深(色)的;隐秘的n.无光;黑暗,,,,
639,dead,a.死的;无生命的;死气沉沉的,ad.完全地,,,
640,deaf,a.聋的;不愿听别人意见的;装聋的,,,,
641,dear,a.昂贵的;亲爱的;珍贵的,int.呵！哎呀！,,,
642,deep,a.深的;深长的;深奥的;强烈的,ad.深;迟,,,
643,deeply,ad.深深地;非常地;深地;(声音)低沉地,,,,
644,definite,a.明确的;肯定的;确定的;限定的,,,,
645,delicious,a.美味可口的;芬芳的;有趣味的;妙的,,,,
646,deserted,adj.(街道等)无人通行的;已无人居住的,,,,
647,detective,a.侦察(用)的,n.侦探,,,
648,determined,adj.果断的;已下决心的,,,,
649,different,a.有差异的;各种不同的;与众不同的,,,,
650,difficult,a.困难的;艰难的;难对付的;很难满足的,,,,
651,direct,a./ad.直接,vt.把…对准;指示;管理;指导,,,
652,directly,ad.直接地;马上;立即,conj.一…(就)…,,,
653,dirty,a.肮脏的;下流的;黄色的,vt.弄脏;玷污,,,
654,disabled,a.伤残的;使失去战斗力的,,,,
655,disappointed,a.失望的;不满意的;不如意的,,,,
656,discouraged,a.泄气的;沮丧的,,,,
657,distant,a.远的;久远的;远离的,,,,
658,double,a.两倍的;双重的,ad.两倍地,n.两部,v.加倍,
659,down,ad.下;由大到小,prep.沿着…而下,a.向下的,,
661,downstairs,ad.在楼下;往楼下a.楼下的n.楼下,,,,
662,downtown,a.在商业区的;属于商业区的ad.在/到商业区,,,,
663,downward,a.向下的;下行的ad.[-(s)]向下地;下行地,,,,
664,drunk,a.醉酒的;(喻)陶醉的,n.酗酒者;醉汉,,,
665,dry,a.干(旱)的;干渴的;枯燥,vt.使干燥;晒干,,,
666,due,a.应支付的;正当的;预定应到的(to);由于,,,,
667,dull,a.迟钝的;呆笨的;单调的;枯躁的;阴暗的,,,,
668,dusty,a.多灰尘的;灰蒙蒙的;粉末状的;灰色的,,,,
669,dying,a.垂死的;临终的,,,,
670,eager,a.(for)渴望的;热切的,,,,
671,eagerly,adv.焦急地;渴望地,,,,
672,early,a.早(期)的;在前的;早熟的ad.在早期;早,,,,
673,easily,ad.容易地;轻易地;顺利地,,,,
674,eastern,a.东方的;东部的;向东方的;来自东方的,,,,
675,eastward,a./ad.向东的;向东,,,,
676,easy,a.容易的;不费力的;安逸的;宽裕的,,,,
677,either,ad.也(不),pron.两者之一,a.(两者中)任一的,,
678,elder,a.年龄较大的;年长的,n.(pl.)长者;较大者,,,
679,electric,a.电的;带电的;电动的;刺激的,,,,
680,electrical,a.用电的,,,,
681,electronic,a.电子的n.[-s]电子学;电子设备,,,,
682,else,ad.其它;另外;别的;[与or连用]否则,,,,
683,empty,a.空的;空闲(虚)的;寂寥的v.(使)空;倒出,,,,
684,endless,a.having or seeming to have no end,,,,
685,energetic,adj.精力充沛的;充满活力的,,,,
686,English,a.英国的;英国人的;英语的n.英语;英国人,,,,
688,enjoyable,a.愉快的;快乐的;有趣的,,,,
689,enough,a./ad.足够的/地;充分的/地,n.充足;足够,,,
690,entire,a.完全的;全部的;完整的,,,,
691,equal,a.平等的;相等的;胜任的,vt.匹敌;比得上,,,
692,equally,ad.同样地;相同程度地;平等地;均一地,,,,
693,especially,ad.特别;尤其;格外;专门地;主要地,,,,
694,European,a.欧洲的;发生在欧洲的,n.欧洲人,,,
695,even,ad.甚至(更),a.均匀的;平的;相等的;偶数的,,,
696,ever,ad.曾经;永远;在任何时候;究竟,,,,
697,every,a.每一个的;每个的;每隔…的;全部的,,,,
698,everyday,adj.每日的;日常的,,,,
699,everywhere,ad.到处;各处;无论何处,,,,
700,exact,a.精确的;确切的vt.强求;要求;索取,,,,
701,exactly,ad.正确地;精确地;恰好地;正好地;正是,,,,
702,excellent,a.杰出的;优秀的;卓越的,,,,
703,excited,a.感到刺激/兴奋的(修饰人),,,,
704,exciting,a.刺激的;令人兴奋的;使人激动的,,,,
705,expensive,a.昂贵的;费用大的;高价的,,,,
706,extra,a./ad./n.额外的/地;非常;另外;额外的人,,,,
707,extraordinary,a.特别的;非凡的;突出的;非常的;奇特的,,,,
708,extremely,ad.极端;极其;非常,,,,
709,fair,a.公平的;相当的;晴朗的;金发的,n.集市,,,
710,fairly,ad.相当;尚可;还;公平地;公正地,,,,
711,familiar,a.(with;to)熟悉的;通晓的;亲近的,,,,
712,famous,a.著名的;众所周知的,,,,
713,far,a./ad.远;久远;遥远,ad.到…程度;…得多,,,
714,farther,ad.更远地;进一步a.更远的;进一步的,,,,
715,farthest,adj./adv.(far的最高级)最远,,,,
716,fast,a.快的;迅速的;坚固的,ad.紧紧地;迅速地,,,
717,fat,a.多脂肪的;肥胖的;丰厚的n.脂肪;肥肉,,,,
718,favorite,a.最喜爱的,n.最喜爱的人或物,,,
719,fearless,adj.不怕的;无畏的,,,,
720,female,a.女性的;雌性的,n.女子;妇女;雌性动物,,,
721,feverish,a.发热的;发烧的;兴奋的;狂热的,,,,
722,few,a.[表肯定]有些;几个;[表否定]几乎没有的,,,,
723,fierce,a.狂暴的;凶猛的;残酷的;巨大的;强烈的,,,,
725,final,a.最后的;决定性的n.[pl.]期终考试;决赛,,,,
726,finally,ad.最后;终于;不可更改地;完全地,,,,
727,fine,a.美好的;纤细的,n.罚款,v.(对…)处以罚款,,
728,firm,a.坚固的;结实的;坚定的,n.公司;商行,,,
729,first,a./ad.第一;最初;首次,n.开始pron.第一名,,,
730,fit,a.(病的)发作;痉挛,v./a.合适;试穿;安装,,,
731,fitting,a.适合的;恰当的,n.(pl.)配件;附件;试穿,,,
732,flaming,a.熊熊燃烧的;热情的,,,,
733,flat,a.平的;(轮胎)瘪的,n.平面(图);公寓套房,,,
734,fond,a.(of)喜爱的;爱好的;宠爱的;溺爱的,,,,
735,foolish,a.愚蠢的;荒谬的;可笑的,,,,
736,foolishly,adv.愚蠢地;荒谬地,,,,
737,foreign,a.对外的;无关的;外来的;非…的本性的,,,,
738,forever,adv.永远;总是,,,,
739,former,a.在前的;以前的;旧时的n.[the～]前者,,,,
740,fortunate,a.幸福的;吉利的;侥幸的,,,,
741,fortunately,ad.有幸地;幸运地,,,,
742,forward,ad.向前;从今往后a.前部的;向前的vt.转送,,,,
743,fragile,a.易碎的;脆的;易损坏的;虚弱的;脆弱的,,,,
744,free,a.自由的;空闲的;免费的,vt.使自由;解放,,,
745,freely,ad.自由地;随便地;无拘无束地,,,,
746,freezing,adj.极冷的;冻结的,,,,
747,french,a.法国(语)的;法国人的,n.法语;法国人,,,
749,frequent,a.频繁的;时常发生的;常见的;经常的,,,,
750,frequently,adv.经常地;屡次地,,,,
751,fresh,a.新的;新近的;新鲜的;新颖的;(水)淡的,,,,
752,fried,adj.油煎的;油炸的,,,,
753,friendly,a.友好的;(竞赛中)不伤和气的;友谊的,,,,
754,frightened,adj.受惊的;害怕的,,,,
755,frightful,a.可怕的;令人吃惊的,,,,
756,front,a.前面的,n.前面;正面;前线,v.面对;朝向,,
757,full,a.充满的;详尽的,ad.完全地;十分,n.全部,,
758,fully,ad.完全地;全部地;彻底地;充分地,,,,
759,funny,a.古怪的;反常出格的;滑稽的;逗人发笑的,,,,
760,further,a.更远的,ad.进一步地;此外,vt.促进;推动,,
761,furthest,a.最远的,ad.最远地,,,
762,gay,a.快乐的;鲜艳的;同性恋的,n.同性恋者,,,
763,general,a.全体的;普遍的;综合的;普通的,n.将军,,,
764,generally,ad.一般地;通常;普遍地;广泛地,,,,
765,gentle,a.和蔼的;温和的;轻柔的;不陡的;善意的,,,,
766,gently,ad.文雅地;有礼貌地;轻轻地,,,,
767,German,a.德国(语)的;德国人的,n.德国人;德语,,,
768,glad,a.高兴的;快活的;乐意的;情愿的,,,,
769,golden,a.金的;金制的;含金的;金色的;贵重的,,,,
770,good,a.(美)好;善良的;擅长的;乖,n.善;利益,,,
771,gradually,ad.渐渐地;逐步地,,,,
772,graduate,a.研究生的,n.有学位者;大学毕业生vi.毕业,,,
773,grand,a.宏伟的;壮丽的;主要的;重大的;豪华的,,,,
774,gray,a.灰色的;灰白的;阴沉的;阴霾的n.灰色,,,,
775,great,a.伟大的;重要的;大量的;很好的;美好的,,,,
776,greatly,ad.大大地;非常地;伟大地;崇高地,,,,
777,greedy,a.贪婪的;贪吃的;(for;after;of)渴望的,,,,
778,Greek,a.希腊(人)的;希腊语的,n.希腊人;希腊语,,,
779,green,a.绿色的;生的;未成熟的;生疏的,n.绿色,,,
780,handsome,a.(男)漂亮的;英俊的;(女)好看的;相当的,,,,
781,happily,adj.幸福地;愉快地,,,,
782,happy,a.快乐的;幸福的;乐意的;令人满意的,,,,
783,hard,a.坚硬的;结实的;困难的;难忍的;严厉的,,,,
784,hardly,ad.几乎不;简直不;刚刚;仅仅,,,,
785,hardworking,adj.努力工作的,,,,
786,harmful,a.有害的;能造成损害的,,,,
787,harmless,adj.无害的;无恶意的,,,,
788,healthy,a.健康的;健壮的;有益健康的;合乎卫生的,,,,
789,heavy,a.重的;重型的;沉重的;大量的;猛烈的,,,,
790,helpful,a.给予帮助的;肯帮助的;有益的;建设性的,,,,
791,here,ad.在(到;向)这里;这时;在这一点上,,,,
792,high,a.高的;高度的;高级的;高尚的,ad.高高地,,,
793,hilly,a.多小山的;丘陵起伏的,,,,
794,historic,a.历史上著名的;具有重大历史意义的,,,,
795,historical,a.历史上著名的;有历史意义的;历史的,,,,
796,home,ad.回家;在家,n.家;家乡a.家庭的;家乡的,,,
797,homesick,a.想家的;患思乡病的,,,,
798,honest,a.诚实的;可靠的;坦率的;正直的,,,,
799,honestly,ad.诚实地;正直地;的确;实在,,,,
800,hopefully,ad.in a hopeful manner ,,,,
801,hopeless,a.绝望的;没有希望的;无能的;糟透的,,,,
802,horrible,a.令人恐惧的;可怕的;极讨厌的;糟透的,,,,
803,hot,a.(炎)热的;辣的;急躁的;激动的;热衷的,,,,
804,how,ad.怎样;如何,,,,
805,however,ad.然而;可是;不过;无论如何,conj.无论,,,
806,huge,a.极大的;巨大的;庞大的,,,,
807,human,a.人的;人类的;有人性的;通人情的,n.人,,,
808,humorous,a.富于幽默感的;幽默的;滑稽的,,,,
809,hungry,a.饥饿的;感到饿的;(for)渴望得到的,,,,
810,hurried,a.仓促的;慌忙的,,,,
811,hurriedly,ad.仓促地;忙乱地,,,,
812,ill,a.有病的;坏的;恶意的ad.坏地;不利地,,,,
813,immediate,adj.with nothing between;coming at once,,,,
814,immediately,ad.立即地;即刻地;直接地;紧密地,,,,
815,important,a.重要的;重大的;有地位的;有权力的,,,,
816,impossible,a.不可能的;难以忍受的;很难对付的,,,,
817,indeed,ad.的确;真心地;(表示同意)确实;可不是,,,,
818,independent,a.独立的;自主的,n.独立派人士;无党派者,,,
819,Indian,a.印度(人)的;印第安人的n.印第安(印度)人,,,,
820,indirect,a.间接的;转弯抹角的;非直接的,,,,
821,industrial,adj.工业(上)的;产业(上)的;工业用的,,,,
822,injured,adj.受伤的,,,,
824,inside,a.里面的,ad.在内部,prep.在…里面,n.内部,
825,inspiring,adj.鼓舞人心的,,,,
826,instant,a.立刻;立即;紧急;速溶的,n.瞬间;时刻,,,
827,instead,ad.代替;顶替;反而;却,,,,
828,interested,a.有兴趣的;感兴趣的,,,,
829,interesting,a.有趣味的;对…感兴趣的,,,,
830,international,a.国际的,,,,
832,Italian,a.意大利(人)的;意大利语的,n.意大利人/语,,,
833,jokingly,adv.开玩笑地;闹着玩地,,,,
834,joyful,a.快乐的;高兴的;使人喜悦的,,,,
835,junior,a.年少的;等级低的,n.年少者;晚辈;下级,,,
836,just,ad.正好地;刚才;只不过,a.公正的;公平的,,,
837,kind,a.仁慈的;友好的;亲切的;和蔼的,n.种类,,,
838,lame,a.跛的;瘸的;站不住脚的;差劲的;蹩脚的,,,,
839,large,a.广大的;大的;规模大的;众多的,,,,
840,last,a.最后的;刚过去的,ad.最后,n.最后,v.持续,
841,late,a.迟的;晚的;晚期的;已故的,ad.迟;晚,,,
842,lately,ad.not long ago;recently 最近;不久前,,,,
843,later,ad.后来a.后面的;新近的;晚年的,,,,
844,lazily,ad.懒惰地;慢吞吞地,,,,
845,lazy,a.懒惰的;懒散的;慢吞吞的,,,,
846,leading,a.领导的;指导的;第一位的;最重要的,,,,
847,learned,a.有学问的;博学的,a.经训练学到的,,,
848,least,a.最小(少)的,ad.最少(小;不),n.最小(少),,
849,left-handed,a.左手的;用左手的,,,,
850,less,a./ad.更小的(地);更少的(地);较次的,,,,
851,lighthearted,adj.轻松愉快的;无优无虑的,,,,
852,lightly,ad.轻轻地;容易地;轻松地,,,,
853,likely,a.可能的;有希望的,ad.很可能;大概;多半,,,
854,limited,adj.受局限的;有限的,,,,
855,little,a.小;幼小;不多的,ad./n.不多;几乎没有,,,
856,lively,a.充满活力的;活泼的;逼真的;栩栩如生的,,,,
857,living,a.活(着)的;生活(动)的;现行的n.生计(活),,,,
858,local,a.地方性的;当地的;局部的n.[pl.]当地人,,,,
859,lonely,a.孤独的;寂寞的;荒凉的;人迹稀少的,,,,
860,long,a.长的;长时间的;长期的,ad.长久;长期地,,,
861,loose,a.(宽)松的;不精确的;自由的;散漫的,,,,
862,lost,a.not used; won; or claimed 失去的,,,,
863,loud,a.大声的;响亮的;吵闹的,ad.响亮;大声地,,,
864,loudly,ad.(=loud)响亮地;高声地,,,,
865,lovely,a.可爱的;好看的;令人愉快的;美好的,,,,
866,low,a.低;矮;低级的;下层的;卑贱的;低声的,,,,
867,lower,a.较低的;下级的;下游的,vt.放低;降低,,,
868,luckily,adv.幸运地;好运地,,,,
869,lucky,a.having or bringing good luck,,,,
870,mad,a.发疯的;狂热的;着迷的;恼火的;生气的,,,,
871,main,a.主要的;最重要的,n.总管道;干线,,,
872,mainly,ad.主要地;大部分地,,,,
873,major,a.(较)大的,n.专业;专业学生;少校,v.主修,,
874,male,a.男(性)的;雄的,n.男性;雄性,,,
875,man-made,adj.人造的;人工的,,,,
876,many,a.许多的;多的,pron.许多人或物;许多,,,
877,maybe,adv.可能;大概;也许,,,,
878,mean,a.小气自私的;坏脾气的;难相处的;恶毒的,,,,
879,medical,a.医学的;医疗的;医药的;内科的,,,,
880,mental,a.智力的;脑力的;精神的;思想的;内心的,,,,
881,mentally,ad.精神上;理智上;在心中,,,,
882,merciful,adj.仁慈的;宽大的,,,,
883,merely,adv.仅仅;只不过,,,,
884,merry,a.欢乐的;愉快的;兴高采烈的,,,,
885,minus,a.负的;减去的,prep.减(去),n.减号;负号,,
886,mistaken,adj.搞错了的;误解的,,,,
887,mobile,a.可动的;易变的;富流动性的,n.活动装置,,,
888,modal,a.模态的,,,,
889,modern,a.现代的;近代的;新式的;时新的,,,,
890,modest,a.端庄的;朴素的;谦虚(逊)的;适度的,,,,
891,moral,a.道德上的,n.道德;伦理;寓意,,,
892,more,a.更多的,n.更多的人(或东西),ad.更;更多,,
893,moreover,ad.再者;而且;加之;此外,,,,
894,most,a.最多的;大多数的,ad.最;极其,n.大多数,,
895,mostly,ad.几乎全部地;主要地;大部分;基本上,,,,
896,mountainous,a.多山的;如山一般;巨大的,,,,
897,moving,a.活动的;移动的;动人的;令人感动的,,,,
898,much,a.多的;大量的,ad.十分;非常;到极大程度,,,
899,musical,a.音乐的;爱好音乐的;悦耳的;有音乐才能的,,,,
900,narrow,a.狭窄的;范围小的;眼光短浅的;有偏见的,,,,
901,national,a.国家的;民族的;国有的;全国性的;全民的,,,,
903,native,a.本国的;本地的;土生的,n.土著;当地人,,,
904,natural,a.自然的;天然的;出于本性的;自然如此的,,,,
905,naughty,a.顽皮的;淘气的;不听话的,,,,
906,near,a.近的;接近的;亲近的,prep.靠近,ad.接近,,
907,nearby,a.附近的,ad.在附近,prep.在…附近,,
908,nearly,ad.差不多;密切地,,,,
909,neat,a.整洁的;简洁的;优美的;精致的;利索的,,,,
910,neatly,ad.整洁地;干净地;灵巧地;熟练地,,,,
911,necessary,a.必须的;必要的;必然的,n.[pl.]必需品,,,
912,neither,a.两者都不的,pron.两者都不,conj./ad.也不,,
913,nervous,a.紧张不安的;害怕的;神经(方面)的,,,,
914,never,ad.永不;从不;决不;从来没有;不;没有,,,,
915,new,a.新(近)的;新来的;不熟悉的;没经验的,,,,
916,next,a.紧接的;其次的;贴近的,ad.其次;居后,,,
917,nice,a.美好的;令人愉快的;友好的;亲切的,,,,
918,no,ad.不是;不,a.没有的;不允许,n.不;拒绝,,
919,noble,a.高尚的;宏伟的;贵族的;高贵的,n.贵族,,,
920,noisily,adv.喧闹地,,,,
921,noisy,adj.喧闹的;嘈杂的,,,,
922,non,ad.[拉]非;不是,,,,
923,non-identical,a.非同一的;不同的,,,,
924,non-stop,a./ad.不停的(地),,,,
925,normal,a.正常的;标准的;正规的;精神健全的,,,,
926,northern,a.北部的;来自北方的;向北的,,,,
927,northwards,a./ad.向北,n.北方的地区,,,
928,not,ad.不;不是;不会;没有,,,,
929,novel,a.新颖的;新奇的,n.(长篇)小说,,,
930,now,ad.现在;如今;目前;当时;于是;然后,,,,
931,nowaday,adj.现今的,,,,
932,nowadays,ad.现今;在这时代,,,,
933,nowhere,ad.在任何地方都不,n.无处;不知道的地方,,,
934,nuclear,a.核心的;中心的;原子核的;核能的,,,,
936,obviously,adv.明显地;明白地;清楚地,,,,
937,o'clock,ad.(…)点钟(与1至12数字连用),,,,
938,off,ad.离开;在远处;脱开,prep.从;从…离开,,,
939,official,a.官方的;正式的;公务的n.官员;行政人员,,,,
940,often,ad.常常;经常;通常,,,,
941,old,a.年老的;…岁的;长时间的;老的;过去的,,,,
